央视频道,#genre#
深圳卫视,http://183.10.180.11:9901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://218.13.167.110:9901/tsfile/live/0126_1.m3u8?key=txiptv
辽宁卫视,http://183.10.180.11:9901/tsfile/live/0121_1.m3u8?key=txiptv
辽宁卫视,http://218.13.167.110:9901/tsfile/live/0018_1.m3u8?key=txiptv
海南卫视,http://218.13.167.110:9901/tsfile/live/1000_1.m3u8?key=txiptv
山东卫视,http://183.10.180.11:9901/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://218.13.167.110:9901/tsfile/live/0131_1.m3u8?key=txiptv
天津卫视,http://183.10.180.11:9901/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://218.13.167.110:9901/tsfile/live/0135_1.m3u8?key=txiptv
重庆卫视,http://183.10.180.11:9901/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视,http://218.13.167.110:9901/tsfile/live/0142_1.m3u8?key=txiptv
东南卫视,http://183.10.180.11:9901/tsfile/live/0137_1.m3u8?key=txiptv
甘肃卫视,http://183.10.180.11:9901/tsfile/live/0141_1.m3u8?key=txiptv
甘肃卫视,http://218.13.167.110:9901/tsfile/live/0141_1.m3u8?key=txiptv
广西卫视,http://183.10.180.11:9901/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://218.13.167.110:9901/tsfile/live/0113_1.m3u8?key=txiptv
贵州卫视,http://183.10.180.11:9901/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视,http://218.13.167.110:9901/tsfile/live/0120_1.m3u8?key=txiptv
河北卫视,http://183.10.180.11:9901/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视,http://218.13.167.110:9901/tsfile/live/0117_1.m3u8?key=txiptv
黑龙江卫视,http://183.10.180.11:9901/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://218.13.167.110:9901/tsfile/live/0019_1.m3u8?key=txiptv
河南卫视,http://183.10.180.11:9901/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://218.13.167.110:9901/tsfile/live/0139_1.m3u8?key=txiptv
湖北卫视,http://183.10.180.11:9901/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://218.13.167.110:9901/tsfile/live/0132_1.m3u8?key=txiptv
江西卫视,http://183.10.180.11:9901/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://218.13.167.110:9901/tsfile/live/0138_1.m3u8?key=txiptv
吉林卫视,http://183.10.180.11:9901/tsfile/live/0116_1.m3u8?key=txiptv
吉林卫视,http://218.13.167.110:9901/tsfile/live/0017_1.m3u8?key=txiptv
内蒙古卫视,http://183.10.180.11:9901/tsfile/live/0109_1.m3u8?key=txiptv
内蒙古卫视,http://218.13.167.110:9901/tsfile/live/0109_1.m3u8?key=txiptv
宁夏卫视,http://183.10.180.11:9901/tsfile/live/0112_1.m3u8?key=txiptv
山西卫视,http://183.10.180.11:9901/tsfile/live/0118_1.m3u8?key=txiptv
山西卫视,http://218.13.167.110:9901/tsfile/live/0118_1.m3u8?key=txiptv
陕西卫视,http://183.10.180.11:9901/tsfile/live/0136_1.m3u8?key=txiptv
陕西卫视,http://218.13.167.110:9901/tsfile/live/0136_1.m3u8?key=txiptv
四川卫视,http://183.10.180.11:9901/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://218.13.167.110:9901/tsfile/live/0123_1.m3u8?key=txiptv
新疆卫视,http://183.10.180.11:9901/tsfile/live/0110_1.m3u8?key=txiptv
云南卫视,http://183.10.180.11:9901/tsfile/live/0119_1.m3u8?key=txiptv
云南卫视,http://218.13.167.110:9901/tsfile/live/0119_1.m3u8?key=txiptv
厦门卫视,http://183.10.180.11:9901/tsfile/live/0129_1.m3u8?key=txiptv
青海卫视,http://183.10.180.11:9901/tsfile/live/0140_1.m3u8?key=txiptv
青海卫视,http://218.13.167.110:9901/tsfile/live/0140_1.m3u8?key=txiptv
西藏卫视,http://183.10.180.11:9901/tsfile/live/0111_1.m3u8?key=txiptv
兵团卫视,http://183.10.180.11:9901/tsfile/live/0115_1.m3u8?key=txiptv
大湾区卫视,http://183.10.180.11:9901/tsfile/live/1074_1.m3u8?key=txiptv
卡酷动画,http://183.10.180.11:9901/tsfile/live/1078_1.m3u8?key=txiptv
金鹰卡通,http://183.10.180.11:9901/tsfile/live/1020_1.m3u8?key=txiptv
数字频道,#genre#
环球奇观,http://183.10.180.11:9901/tsfile/live/1080_1.m3u8?key=txiptv
新科动漫,http://183.10.180.11:9901/tsfile/live/1076_1.m3u8?key=txiptv
老故事,http://183.10.180.11:9901/tsfile/live/1016_1.m3u8?key=txiptv
电影频道,#genre#
经典电影,http://183.10.180.11:9901/tsfile/live/1014_1.m3u8?key=txiptv
教育频道,#genre#
中国教育2,http://183.10.180.11:9901/tsfile/live/1085_1.m3u8?key=txiptv
中国教育4,http://183.10.180.11:9901/tsfile/live/1086_1.m3u8?key=txiptv
港澳频道,#genre#
凤凰中文,http://183.10.180.11:9901/tsfile/live/1003_1.m3u8?key=txiptv
翡翠台,http://183.10.180.11:9901/tsfile/live/1006_1.m3u8?key=txiptv
明珠台,http://183.10.180.11:9901/tsfile/live/1015_1.m3u8?key=txiptv
华南地区,#genre#
广东经济,http://183.10.180.11:9901/tsfile/live/1079_1.m3u8?key=txiptv
广东体育,http://183.10.180.11:9901/tsfile/live/1063_1.m3u8?key=txiptv
广东体育,http://218.13.167.110:9901/tsfile/live/1001_1.m3u8?key=txiptv
广东珠江,http://183.10.180.11:9901/tsfile/live/1064_1.m3u8?key=txiptv
广东珠江,http://218.13.167.110:9901/tsfile/live/1003_1.m3u8?key=txiptv
广东影视,http://183.10.180.11:9901/tsfile/live/1010_1.m3u8?key=txiptv
广东影视,http://218.13.167.110:9901/tsfile/live/1002_1.m3u8?key=txiptv
广东少儿,http://183.10.180.11:9901/tsfile/live/1013_1.m3u8?key=txiptv
广东少儿,http://218.13.167.110:9901/tsfile/live/1006_1.m3u8?key=txiptv
广东新闻,http://183.10.180.11:9901/tsfile/live/1055_1.m3u8?key=txiptv
深圳都市,http://218.13.167.110:9901/tsfile/live/1004_1.m3u8?key=txiptv
深圳电视剧,http://183.10.180.11:9901/tsfile/live/1033_1.m3u8?key=txiptv
揭阳综合,http://183.10.180.11:9901/tsfile/live/1049_1.m3u8?key=txiptv
揭阳生活,http://183.10.180.11:9901/tsfile/live/1050_1.m3u8?key=txiptv
汕头综合,http://183.10.180.11:9901/tsfile/live/1002_1.m3u8?key=txiptv
汕头经济,http://183.10.180.11:9901/tsfile/live/1012_1.m3u8?key=txiptv
汕尾公共,http://183.10.180.11:9901/tsfile/live/1011_1.m3u8?key=txiptv
潮州综合,http://183.10.180.11:9901/tsfile/live/1004_1.m3u8?key=txiptv
潮州民生,http://183.10.180.11:9901/tsfile/live/1017_1.m3u8?key=txiptv
河源公共,http://183.10.180.11:9901/tsfile/live/1060_1.m3u8?key=txiptv
