香港频道,#genre# 
阿里郎 Arirang,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=arirang_twn
博斯运动 1,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=bosisport1_twn
博斯运动 2,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=bosisport2_twn
博斯高球2 HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=bosigolf2_twn
博斯网球 HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=bositennis_twn
东森洋片 ETTV Western,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ettvwestern
龙华洋片 Lunghua Western,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=lunghuawestern_twn
博斯无限,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=bosiunlimited_twn
MTV Live,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=mtvhd_twn
龙详时代,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=lungxiangtime_twn
EYETV 旅游,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=eyetvtravel_twn
靖天卡通台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=jingtiancartoon_twn
EYETV 戏剧,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=eyetvxiju_twn
卫视中文台 Star Movies Chinese,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=weishichinese_twn
东森幼幼 Yoyo TV,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=yoyo_twn
卫视电影台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=weishimovie_twn
美亚电影,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=meiyamovie_twn
爱尔达影剧台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=eltayingju_twn
爱尔达综合台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=eltazonghe_twn
星卫电影,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=xingwei_movie
AFC 亚洲旅游台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=asiatravel_twn

电影频道,#genre# 
Cinemax,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Cinemax
Animax,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Animax
Movies Now HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=moviesnow_raj
Star Movies HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=starmovies_raj
HBO Family,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Hbofamily
Hits,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Hits
Warner TV,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=WarnerTV
HBO HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Hbo
HBO Signature,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Hbosignature
HBO Hits,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Hbohitshd
SCM,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Weishimovie
Dreamworks,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Dreamworks
Thrill,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Thrill
Hits Movie,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Hitsmovie
One,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=One
tvN Movie,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Tvnmovie
Celestial Classic,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Celestial2
Celestial Movies HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Celestialindo
Axn HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Axn
Paramount Network,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Paramountnetwork
Astrol Kplus,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Kplus
Rock Actions,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Rockaction
Rock Entertainment,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Rockentertain

记录频道,#genre# 
Natgeo_HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=natgeohd_twn
NatGeo_Wild HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=natgeowild_twn
Animal_Planet,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=animalplanet_twn
Discovery Asia,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=discoverytwn_twn
CI,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ci_twn
Discovery HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=discoveryhd_twn
NatGeo HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Natgeo
Fashion TV,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=fashiontv_twn
History,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=History
BBC Earth HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=bbcearth_twn
BBC Earth Lifestyle,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=bbclifestyle_twn
NatGeo Wild HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Natgeowild
Animal Planet (Eng),https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=AnimalPlanet
TLC,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Tlc
Foodnetwork Hd,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Foodnetwork
HGTV,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=HGTV

新闻频道,#genre# 
Skynews,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=skynews_twn
ABC News,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=abcnews_glo
CBS HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cbshd_glo
CBSN HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cbsn_glo
France 24,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=france24_twn
DW (Deutsch),https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=dw_twn
NHK World,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=nhkworld_japan
Fox News,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=foxnews_twn
CNN International,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Cnn
CNN backup,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cnn_twn
CNBC,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cnbc_twn
CNA,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cna
BBC World News,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=bbcnews_twn
BBC World News,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Bbcnews
Bloomberg News,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=bloomberg_twn
Al-Jazeera,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=aljazeera_twn

儿童频道,#genre# 
Baby TV Eng,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Babytv
CBeebies,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Cbeebies
Kids TV,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=KidsTV
Momo TV,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=momo1_twn
Baby TV,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=babytv_twn
MiaoMi,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=MiaoMi
Cartoon Network,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Cn
Nickelodeon,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Nickelodeon
Nick Jr,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Nickjr

新加坡频道,#genre# 
Channel 5,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Channel5HD
Channel 8,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Channel8HD
Suria,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Suria
Channel U,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ChannelU
Vasantham,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Vasantham
CNA backup,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cna_twn
